Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-location.json	3369	-	0	0	0	0	0	0	6	60	0	0	0	0	0	0	0	0	0	0	83	52	0	0	1	3	0	1
fsh-generated/resources/Location-Country1.json	208	15	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/Location-Province1.json	627	11	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-SP-related-location-type.json	551	10	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-LocationGraphNode.json	2338	14	1	0	0	0	0	15	0	45	0	0	0	0	0	0	0	0	0	0	76	993	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-location-with-complex-extension.json	1364	15	0	0	0	0	0	70	0	66	0	0	0	0	0	0	0	2	0	0	180	651	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-related-location.json	3147	11	0	0	0	0	0	26	0	38	0	0	0	0	0	0	0	0	0	0	123	237	0	0	0	8	0	0
fsh-generated/resources/ValueSet-vs-relationships.json	271	10	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	9	3533	0	0	0	1	0	0
